brand,model,price,rating,os,ram_gb,cpu_brand,cpu_name,cpu_speed_ghz,cpu_gen,cpu_cores,cpu_threads,cpu_p_cores,cpu_e_cores,cpu_lp_e_cores,cpu_family,cpu_series,cpu_model_id,cpu_suffix,storage_gb,storage_type,secondary_storage,gpu_brand,gpu_name,gpu_vram_gb,gpu_type,gpu_series,gpu_model_id,display_size_inch,display_width_px,display_height_px,display_ppi,screen_resolution,is_touchscreen,has_ips_panel,has_retina_display,color,special_features,device_category,ram_type,warranty,weight,rating_review_text,total_processors,execution_units,energy_eff_units,low_power_cores,graphics_integrated,source_file
Dell,XPS,"$2,179.05 ",3.8,Windows 10,16 GB,,Core I7 11800H,,,,,,,,,,,,1 TB,,,,Dedicated,,,,,17 Inches,,,,,,,,Platinum Silver,"Backlit Keyboard,Fingerprint Reader",,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,ThinkPad P14s Gen 3,"$2,426.99 ",,Windows 11 Pro,16 GB,,Core i7,,,,,,,,,,,,512 GB,,,,T550,,,,,14 Inches,,,,,,,,Black,Anti-glare Screen,,,,,,,,,,,amazon_laptop_prices_v01.csv
Microsoft,Surface Laptop,"$1,499.99 ",,Windows 11 Home,16 GB,,Core i5,,,,,,,,,,,,512 GB,,,,Integrated,,,,,13.5 Inches,,,,,,,,Black,Dolby,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Latitude,"$1,436.81 ",5.0,Windows 10 Pro,16 GB,,Core i5,,,,,,,,,,,,2 TB,,,,Integrated,,,,,15.6 Inches,,,,,,,,,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,7000,$795.00 ,3.9,Windows 10,12 GB,,AMD Ryzen 7,,,,,,,,,,,,,,,,Integrated,,,,,13.3 Inches,,,,,,,,Grey,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,HP 14 laptop,$328.58 ,3.7,Windows 10 Home,4 GB,,Core i3,,,,,,,,,,,,128 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Silver,Anti-glare,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Latitude 5420,"$1,443.60 ",4.2,Windows 10 Pro,8 GB,,Core i5,,,,,,,,,,,,256 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,,Anti Glare,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$389.99 ,5.0,Windows 11,20 GB,,Pentium,1.1 GHz,,,,,,,,,,,1152 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$459.99 ,4.4,Windows 11,16 GB,,Pentium N5000,1.1 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,Ideapad 3,$639.99 ,,Windows 11,20 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,C771-C4TM,$295.40 ,4.2,Chrome OS,1 GB,,Celeron,,,,,,,,,,,,32 GB,,,,Integrated,,,,,11.6 Inches,,,,,,,,Black,Spill Resistant,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Dell Latitude,$729.00 ,5.0,Windows 10 Pro,8 GB,,Core i5,,,,,,,,,,,,256 GB,,,,Integrated,,,,,13.3 Inches,,,,,,,,,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,PRO X2 612G1+KEYBOARD,$209.98 ,,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,8 GB,,Core i5,,,,,,,,,,,,256 GB,,,,Integrated,,,,,12.5 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Latitude 7420 Laptop,"$1,652.99 ",,Windows 10 Pro,32 GB,,Core i7,,,,,,,,,,,,512 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Black,Wifi & Bluetooth,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,ThinkPad T15p Gen 3,"$1,920.57 ",,Windows 11,8 GB,,Core i7,,,,,,,,,,,,256 GB,,,,GeForce RTX 3050,,,,,15.6 Inches,,,,,,,,Black,Anti-glare Screen,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Latitude 7420,$544.00 ,5.0,Windows 10 Pro,16 GB,,Core i5,,,,,,,,,,,,256 GB,,,,Integrated,,,,,14 Inches,,,,,,,,,Anti Glare,,,,,,,,,,,amazon_laptop_prices_v01.csv
DELL,Inspiron,$899.99 ,,Windows 11,32 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,16 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,38S12UT#ABA,"$2,099.00 ",,Windows 10 Pro,16 GB,,Core i5,2.4 GHz,,,,,,,,,,,,,,,Integrated,,,,,13.3 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Dell 5000,$854.86 ,,Windows 11,16 GB,,Ryzen 7,,,,,,,,,,,,512 GB,,,,Integrated,,,,,16 Inches,,,,,,,,Platinum Silver,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,ThinkPad T16 Gen 1,"$1,007.00 ",,Windows 11 Pro,16 GB,,Ryzen 5,,,,,,,,,,,,256 GB,,,,Radeon Graphics,,,,,16 Inches,,,,,,,,,Anti-glare Screen,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,Lenovo ThinkPad X1 Carbon Gen 11,"$1,644.31 ",,Windows 11 Pro,32 GB,,Core i7 Family,,,,,,,,,,,,512 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$389.99 ,5.0,Windows 11,20 GB,,Pentium,1.1 GHz,,,,,,,,,,,1152 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$459.99 ,4.4,Windows 11,16 GB,,Pentium N5000,1.1 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,Ideapad 3,$639.99 ,,Windows 11,20 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,Lenovo ThinkPad T14 Gen 3 AMD,"$1,131.06 ",5.0,Windows 11 Pro,16 GB,,AMD Ryzen 7,,,,,,,,,,,,2 TB,,,,Integrated,,,,,14 Inches,,,,,,,,,"Anti-glare,Backlit Kyb,Fingerprint Reader",,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,ELITEBOOK 820G3,$307.98 ,4.0,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,16 GB,,Core i5,2.4 GHz,,,,,,,,,,,512 GB,,,,Integrated,,,,,12.5 Inches,,,,,,,,,,,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Modern 14 B11MO-857,$699.00 ,2.0,Win 10 Multi-language /Free upgrade to Win 11,8 GB,,Core i5,,,,,,,,,,,,512 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Beige Mousse,"Multi Touch, Intel 9560 Jefferson Peak (2x2 802.11 ac), White backlight 84 Key",,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,E6540,$529.95 ,3.7,Windows 7 Professional,8 GB,,Core i7,,,,,,,,,,,,500 GB,,,,Dedicated,,,,,15.6 Inches,,,,,,,,,HD Audio,,,,,,,,,,,amazon_laptop_prices_v01.csv
DELL,Inspiron,$899.99 ,,Windows 11,32 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,16 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Dell Inspiron 16 5625,$854.86 ,,Windows 11 Pro,16 GB,,AMD Ryzen 7,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,16 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
LG,17Z90R-N.APC5U1,"$1,469.99 ",,Windows 11 Pro,8 GB,,Core i7,,,,,,,,,,,,512 GB,,,,Integrated,,,,,17 Inches,,,,,,,,Obsidian Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,Spectre x360,"$2,299.00 ",,Windows 11 Home,16 GB,,Core i7,,,,,,,,,,,,512 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,,"Fingerprint,Pen",,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Raider GE76 12UE,"$2,569.00 ",,Windows 11 Pro,64 GB,,Intel Core i9,,,,,,,,,,,,4 TB,,,,Dedicated,,,,,17.3 Inches,,,,,,,,Titanium Blue-Black-Dark Blue-Black,"HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Latitude 7000,"$1,652.68 ",,Windows 10 Pro,16 GB,,Core i7,,,,,,,,,,,,256 GB,,,,Iris Xe Graphics,,,,,14 Inches,,,,,,,,Carbon Fiber,Anti-glare Screen,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,VivoBook,$479.00 ,3.8,Windows 11 Home,12 GB,,Core i3 Family,,,,,,,,,,,,512 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,DELL XPS 15 9520,"$1,681.29 ",1.0,Windows 11 Pro,32 GB,,Core i7,,,,,,,,,,,,1 TB,,,,Dedicated,,,,,15.6 Inches,,,,,,,,Platinum Silver,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating",,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,,$599.99 ,,Windows 11 Home,16 GB,,,1.7 GHz,,,,,,,,,,,512 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Pure Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Toughbook,CF-54 MK1,$749.89 ,3.3,Windows 10 Pro,8 GB,,Intel Core i5,,,,,,,,,,,,512 GB,,,,Integrated,,,,,14 Inches,,,,,,,,grey,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,Yoga,"$1,049.00 ",3.8,Windows 10 Home,12 GB,,Intel Core i5-1135G7,,,,,,,,,,,,512 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Dark Moss,Fingerprint reader,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,LATITUDE E6540,$342.98 ,,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,16 GB,,Core i7,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
SAMSUNG,XE303C12,$85.00 ,3.7,Chrome OS,2 GB,,,,,,,,,,,,,,16 GB,,,,Integrated,,,,,11.6 Inches,,,,,,,,Silver,Stereo,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Dell Latitude 14 5000 E5470,$339.00 ,5.0,Windows 10 Pro,16 GB,,Core i7,,,,,,,,,,,,512 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Black,Anti Glare,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Dell Latitude,$249.95 ,4.3,Windows 7,4 GB,,Core i3,2.4 GHz,,,,,,,,,,,320 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$389.99 ,5.0,Windows 11,20 GB,,Pentium,1.1 GHz,,,,,,,,,,,1152 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$459.99 ,4.4,Windows 11,16 GB,,Pentium N5000,1.1 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,Ideapad 3,$639.99 ,,Windows 11,20 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Precision 5000,"$1,770.16 ",,Windows 11 Pro,16 GB,,Core i7,,,,,,,,,,,,512 GB,,,,RTX A1000,,,,,14 Inches,,,,,,,,Mist Blue,Anti-glare Screen,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Inspiron,$993.23 ,5.0,Windows 11 Home,64 GB,,Core i7,,,,,,,,,,,,2 TB,,,,Integrated,,,,,14 Inches,,,,,,,,Silver,Backlit Kb,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,EliteBook Folio,$252.98 ,5.0,Windows 10 64 Bit-Multi-Language Supports English/Spanish/French,4 GB,,Core i5-4210U,1.7 GHz,,,,,,,,,,,256 GB,,,,Integrated,,,,,14 Inches,,,,,,,,,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Latitude Rugged 5420 Laptop,$999.66 ,,Windows 11 Pro,32 GB,,Core i7,,,,,,,,,,,,256 GB,,,,AMD RADEON RX 540,,,,,14 Inches,,,,,,,,Black,Wifi & Bluetooth,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,ThinkPad X1 Nano Gen1,"$1,504.08 ",5.0,Windows 11 Pro,16 GB,,Core i7 Family,,,,,,,,,,,,256 GB,,,,Iris Xe Graphics,,,,,13 Inches,,,,,,,,Black Paint,Anti-glare Screen,,,,,,,,,,,amazon_laptop_prices_v01.csv
DELL,Inspiron,$899.99 ,,Windows 11,32 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,16 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Dell Latitude,$540.00 ,4.7,Windows 10,8 GB,,8032,,,,,,,,,,,,,,,,Integrated,,,,,14 Inches,,,,,,,,,Speakers,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,Acer Swift 3 SF313-52-526M,$436.11 ,,Windows 10 Home,8 GB,,Core i5,1.1 GHz,,,,,,,,,,,256 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,,$458.14 ,4.5,Windows 11 Home,12 GB,,Pentium,2 GHz,,,,,,,,,,,128 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Grey,,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,PT516-52s-73YD,"$1,849.00 ",2.8,Windows 11 Home,16 GB,,Core i7,,,,,,,,,,,,1 TB,,,,Dedicated,,,,,16 Inches,,,,,,,,Gray,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Latitude 9000,"$1,713.59 ",,Windows 11 Pro,16 GB,,Core i5,,,,,,,,,,,,256 GB,,,,Iris Xe Graphics,,,,,14 Inches,,,,,,,,,"Anti-smudge, Corning Gorilla Glass",,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,ThinkPad X13 Gen 3,"$1,730.95 ",,Windows 11 Pro,16 GB,,Core i7,,,,,,,,,,,,512 GB,,,,Iris Xe Graphics,,,,,13.3 Inches,,,,,,,,,Anti-glare Screen,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,B09HSNNCQL,$288.00 ,5.0,Windows 10 Home,4 GB,,Athlon,,,,,,,,,,,,128 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,,Micro-edge Bezel,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Inspiron 3511,$714.34 ,,Windows 11 Home,32 GB,,Core i5,1 GHz,,,,,,,,,,,256 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Dell 5000,"$1,406.04 ",,Windows 11 Pro,64 GB,,Core i7 Family,,,,,,,,,,,,2 TB,,,,Dedicated,,,,,14 Inches,,,,,,,,Platinum Silver,"Backlit Keyboard,Fingerprint",,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,ThinkPad P1 Gen 4,"$1,960.77 ",,Windows 10 Pro,16 GB,,Core i7 Family,,,,,,,,,,,,512 GB,,,,T1200,,,,,16 Inches,,,,,,,,Black,Anti-glare Screen,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,CB3-111,$159.95 ,4.4,Chrome OS,16 GB,,Celeron,,,,,,,,,,,,16 GB,,,,Integrated,,,,,11.6 Inches,,,,,,,,Moonstone White,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Computer Upgrade King,,"$2,199.99 ",,Windows 11 Home,64 GB,,Intel Core i7,3.7 GHz,,,,,,,,,,,2000 GB,,,,Dedicated,,,,,17 Inches,,,,,,,,,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Latitude 5420,"$1,419.92 ",4.7,Windows 11 Pro,64 GB,,Core i5 Family,,,,,,,,,,,,2 TB,,,,Integrated,,,,,14 Inches,,,,,,,,Gray,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Raider GE76 12UHS-255,"$3,599.00 ",3.8,Windows 11 Home,32 GB,,Core i7,,,,,,,,,,,,1 TB,,,,Dedicated,,,,,17.3 Inches,,,,,,,,Titanium Blue,Anti-glare Screen,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,HP Envy,"$1,499.00 ",3.8,Windows 10 Pro,16 GB,,Intel Core i7-1165G7,,,,,,,,,,,,1 TB,,,,Integrated,,,,,13.3 Inches,,,,,,,,Natural Silver,"Backlit Keyboard,Fingerprint Reader",,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Precision 3000,"$1,734.21 ",5.0,Windows 11,16 GB,,Core i7,,,,,,,,,,,,512 GB,,,,RTX A500,,,,,15.6 Inches,,,,,,,,,Microphone,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Latitude,$873.93 ,5.0,Windows 11 Pro,16 GB,,Core i7 Family,,,,,,,,,,,,512 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Latitude E6400,$89.99 ,3.8,Windows 7 Professional,,,Core 2 Duo,2.53 GHz,,,,,,,,,,,160 GB,,,,Dedicated,,,,,14.1 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Precision 7670 Laptop,"$1,385.98 ",,Windows 11 Pro,32 GB,,Core i7,,,,,,,,,,,,512 GB,,,,Dedicated,,,,,16 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$389.99 ,5.0,Windows 11,20 GB,,Pentium,1.1 GHz,,,,,,,,,,,1152 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$459.99 ,4.4,Windows 11,16 GB,,Pentium N5000,1.1 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,Ideapad 3,$639.99 ,,Windows 11,20 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
LG,17Z95P-K.AAB9U1,"$1,515.03 ",4.4,Windows 11,16 GB,,Core i7 Family,,,,,,,,,,,,2 TB,,,,Integrated,,,,,17 Inches,,,,,,,,Black,Alexa,,,,,,,,,,,amazon_laptop_prices_v01.csv
CTL,Chromebook,$417.99 ,,Chrome OS,8 GB,,Celeron,,,,,,,,,,,,64 GB,,,,UHD Graphics,,,,,14 Inches,,,,,,,,,Information Not Available,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,V7620,"$1,193.72 ",,Windows 11 Pro,24 GB,,Core i7 Family,,,,,,,,,,,,512 GB,,,,Dedicated,,,,,16 Inches,,,,,,,,Black,"Backlit Keyboard,Fingerprint",,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,HP Notebook,$425.99 ,4.1,Windows 10,16 GB,,Celeron,,,,,,,,,,,,,,,,,,,,,15.6 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,Elite x360 1040 G9,"$1,796.25 ",,Windows 11 Pro,16 GB,,Core i7,,,,,,,,,,,,512 GB,,,,Iris Xe Graphics,,,,,14 Inches,,,,,,,,,Information Not Available,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Dell Precision,"$1,101.49 ",4.7,Windows 10 Pro,16 GB,,Core i7 Family,,,,,,,,,,,,1 TB,,,,Integrated,,,,,13.4 Inches,,,,,,,,,Fingerprint,,,,,,,,,,,amazon_laptop_prices_v01.csv
DELL,Inspiron,$899.99 ,,Windows 11,32 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,16 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,ProBook x360,$401.99 ,,Windows 11 Pro,4 GB,,Celeron,2.8 GHz,,,,,,,,,,,,,,,UHD Graphics,,,,,11.6 Inches,,,,,,,,,Information Not Available,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,VXDV2,"$1,699.00 ",,Windows 10 Pro,16 GB,,Intel Core i5,2.6 GHz,,,,,,,,,,,256 GB,,,,Integrated,,,,,14 Inches,,,,,,,,,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Latitude 3000,$287.99 ,2.3,Windows 11,4 GB,,Celeron,1.1 GHz,,,,,,,,,,,,,,,UHD Graphics,,,,,11.6 Inches,,,,,,,,,Anti-glare Screen,,,,,,,,,,,amazon_laptop_prices_v01.csv
